Partlist

Exported from BMS.brd at 4/23/2016 3:34:17 PM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value               Package                  Library           Position (mil)        Orientation

1        BCV71SMD            SOT23-BEC                transistor-npn    (3978 2525)           R90
2        BCV71SMD            SOT23-BEC                transistor-npn    (5536.59055 2704.40945) MR0
3        BCV71SMD            SOT23-BEC                transistor-npn    (1878 2678)           R0
D2       LED_RED             CHIP_LED0805             FSAE Electric     (4710 3250)           R180
D3       LED_RED             CHIP_LED0805             FSAE Electric     (4720 2990)           R180
D4       LED_RED             CHIP_LED0805             FSAE Electric     (4740 2770)           R180
D5       LED_RED             CHIP_LED0805             FSAE Electric     (4750 2540)           R180
D6       LED_RED             CHIP_LED0805             FSAE Electric     (4760 2080)           R180
D7       LED_RED             CHIP_LED0805             FSAE Electric     (4760 2290)           R180
D8       LED_RED             CHIP_LED0805             FSAE Electric     (2869 3633)           R180
D9       LED_RED             CHIP_LED0805             FSAE Electric     (4760 1850)           R180
D10      LED_RED             CHIP_LED0805             FSAE Electric     (4760 1610)           R180
D11      LED_RED             CHIP_LED0805             FSAE Electric     (4760 1420)           R180
D12      LED_RED             CHIP_LED0805             FSAE Electric     (4760 1180)           R180
D13      LED_RED             CHIP_LED0805             FSAE Electric     (4760 890)            R180
D14      LED_RED             CHIP_LED0805             FSAE Electric     (2872 3358)           R180
D15      LED_RED             CHIP_LED0805             FSAE Electric     (2777 3096)           R180
D16      LED_RED             CHIP_LED0805             FSAE Electric     (2782 2731)           R180
D17      LED_RED             CHIP_LED0805             FSAE Electric     (2762 2455)           R180
D18      LED_RED             CHIP_LED0805             FSAE Electric     (2734 1960)           R180
D19      LED_RED             CHIP_LED0805             FSAE Electric     (2675 2230)           R180
D20      LED_RED             CHIP_LED0805             FSAE Electric     (2727 1707)           R180
D21      LED_RED             CHIP_LED0805             FSAE Electric     (2852 1622)           R180
D22      LED_RED             CHIP_LED0805             FSAE Electric     (2720 1259)           R180
D23      LED_RED             CHIP_LED0805             FSAE Electric     (2773 1007)           R180
D24      LED_RED             CHIP_LED0805             FSAE Electric     (2933 780)            R90
D25      LED_RED             CHIP_LED0805             FSAE Electric     (535 3793)            R180
D26      LED_RED             CHIP_LED0805             FSAE Electric     (553 3440)            R180
D27      LED_RED             CHIP_LED0805             FSAE Electric     (545 3135)            R180
D28      LED_RED             CHIP_LED0805             FSAE Electric     (545 2910)            R180
D29      LED_RED             CHIP_LED0805             FSAE Electric     (555 2640)            R180
D30      LED_RED             CHIP_LED0805             FSAE Electric     (545 2100)            R180
D31      LED_RED             CHIP_LED0805             FSAE Electric     (560 2365)            R180
D32      LED_RED             CHIP_LED0805             FSAE Electric     (550 1775)            R180
D33      LED_RED             CHIP_LED0805             FSAE Electric     (535 1530)            R180
D34      LED_RED             CHIP_LED0805             FSAE Electric     (545 1290)            R180
D35      LED_RED             CHIP_LED0805             FSAE Electric     (555 1065)            R180
D36      LED_RED             CHIP_LED0805             FSAE Electric     (490 580)             R0
F1       FUSE_750MA_63V_0603 0603                     FSAE Electric     (1533 4011)           R270
F2       FUSE_750MA_63V_0603 0603                     FSAE Electric     (1421 3766)           R270
F3       FUSE_750MA_63V_0603 0603                     FSAE Electric     (875 3549)            R180
F4       FUSE_750MA_63V_0603 0603                     FSAE Electric     (1421 3087)           R270
F5       FUSE_750MA_63V_0603 0603                     FSAE Electric     (868 2856)            R180
F6       FUSE_750MA_63V_0603 0603                     FSAE Electric     (1301 2501)           R270
F7       FUSE_750MA_63V_0603 0603                     FSAE Electric     (875 2170)            R180
F8       FUSE_750MA_63V_0603 0603                     FSAE Electric     (1393 1708)           R180
F9       FUSE_750MA_63V_0603 0603                     FSAE Electric     (826 1617)            R180
F10      FUSE_750MA_63V_0603 0603                     FSAE Electric     (1400 1260)           R90
F11      FUSE_750MA_63V_0603 0603                     FSAE Electric     (910 784)             R90
F12      FUSE_750MA_63V_0603 0603                     FSAE Electric     (1323 476)            R90
F13      FUSE_750MA_63V_0603 0603                     FSAE Electric     (3367 4130)           R270
F14      FUSE_750MA_63V_0603 0603                     FSAE Electric     (3332 3892)           R0
F15      FUSE_750MA_63V_0603 0603                     FSAE Electric     (2653 3276)           R270
F16      FUSE_750MA_63V_0603 0603                     FSAE Electric     (3339 3199)           R0
F17      FUSE_750MA_63V_0603 0603                     FSAE Electric     (2597 2653)           R270
F18      FUSE_750MA_63V_0603 0603                     FSAE Electric     (3059 2415)           R270
