Partlist

Exported from A6BP-3.sch at 4/21/2016 3:48:01 PM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value           Device                       Package                           Library               Sheet
R9       10K             RES_10K_1%_0805              0805                              FSAE Electric         2
R10      1K              RES_1K_1%_0805               0805                              FSAE Electric         4
R11      620             RES_620_1%_0805              0805                              FSAE Electric         2
R12      120             RES_120_1%_0805              0805                              FSAE Electric         2
R13      24K             RES_24K_1%_0805              0805                              FSAE Electric         1
R14      \95.3K          RES_95.3K_1%                 0805                              FSAE Electric         1
R15      3.3k            RES_3.3K_1%_0805             0805                              FSAE Electric         1
R16      620             RES_620_1%_0805              0805                              FSAE Electric         2
R17      620             RES_620_1%_0805              0805                              FSAE Electric         2
R18      1K              RES_1K_1%_0805               0805                              FSAE Electric         3
R19      1K              RES_1K_1%_0805               0805                              FSAE Electric         3
R20      1K              RES_1K_1%_0805               0805                              FSAE Electric         4
R21      1K              RES_1K_1%_0805               0805                              FSAE Electric         3
R22      1.21K           RES_1.21K_1%_0805            0805                              FSAE Electric         4
R23      120             RES_120_1%_0805              0805                              FSAE Electric         2
R24      1K              RES_1K_1%_0805               0805                              FSAE Electric         2
R25      1.2K            RES_1.2K_1%_0805             0805                              FSAE Electric         1
R26      dnp             R-US_R0805                   R0805                             adafruit              1
R27      1.21K           RES_1.21K_1%_0805            0805                              FSAE Electric         4
R28      120             RES_120_1%_0805              0805                              FSAE Electric         2
R29      100K            RES_100K_1%_0805             0805                              FSAE Electric         5
R30      1K              RES_1K_1%_0805               0805                              FSAE Electric         5
R31      3.3K            RES_3.3K_1%_0805             0805                              FSAE Electric         5
R32      1K              RES_1K_1%_0805               0805                              FSAE Electric         3
R33      1K              RES_1K_1%_0805               0805                              FSAE Electric         3
R34      1K              RES_1K_1%_0805               0805                              FSAE Electric         3
R35      1.21K           RES_1.21K_1%_0805            0805                              FSAE Electric         4
R36      1.21K           RES_1.21K_1%_0805            0805                              FSAE Electric         4
R37      1K              RES_1K_1%_0805               0805                              FSAE Electric         3
R38      1K              RES_1K_1%_0805               0805                              FSAE Electric         3
R39      1K              RES_1K_1%_0805               0805                              FSAE Electric         4
R40      dnp             R-US_R0805                   R0805                             adafruit              1
R41      1K              RES_1K_1%_0805               0805                              FSAE Electric         4
R42      1K              RES_1K_1%_0805               0805                              FSAE Electric         4
R43      10K             RES_10K_1%_0805              0805                              FSAE Electric         3
R44      620             RES_620_1%_0805              0805                              FSAE Electric         2
R45      620             RES_620_1%_0805              0805                              FSAE Electric         2
R46      1.21K           RES_1.21K_1%_0805            0805                              FSAE Electric         4
R47      1.21K           RES_1.21K_1%_0805            0805                              FSAE Electric         4
R48      620             RES_620_1%_0805              0805                              FSAE Electric         2
R49      620             RES_620_1%_0805              0805                              FSAE Electric         2
R50      120             RES_120_1%_0805              0805                              FSAE Electric         2
R51      1K              RES_1K_1%_0805               0805                              FSAE Electric         2
R52      3.3K            RES_3.3K_1%_0805             0805                              FSAE Electric         2
R53      0.003_3W        RES_0.003_3W_1%              2512                              FSAE Electric         5
R54      1k_1%           RES_1K_1%_0805               0805                              FSAE Electric         5
R55      10K             RES_10K_1%_0805              0805                              FSAE Electric         2
R56      1.2K            RES_1.2K_1%_0805             0805                              FSAE Electric         1
R57      10K             RES_10K_1%_0805              0805                              FSAE Electric         2
R58      620             RES_620_1%_0805              0805                              FSAE Electric         2
R59      10K             RN-4_10K                     MNR14                             FSAE Electric         4
