Partlist

Exported from MCS.sch at 4/27/2016 6:43 PM

EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value             Device                Package            Library                    Sheet
TP6      TP                TP                    0603               FSAE Electric              2
TX1      GREEN             LED_GREEN             CHIP_LED0805       FSAE Electric              1
TX2      GREEN             LED_GREEN             CHIP_LED0805       FSAE Electric              1
U1       DSPIC33FJ128GP804 DSPIC33FJ128GP804     TQFP-44            FSAE Electric              1
U2       SN75HVD08DRMSOP   SN75HVD08DRMSOP       MSOP-8             FSAE Electric              1
U3       MCP4725           MCP4725               SOT23-6            FSAE Electric              2
U4       MCP4725           MCP4725               SOT23-6            FSAE Electric              2
U5       PTN78060HAH       PTN78060HAH           PTN78060HAH        FSAE Electric              1
U6       OPA344            OPA344                SOT23-5            FSAE Electric              2
U7       OPA344            OPA344                SOT23-5            FSAE Electric              2
U8       NCP1117DT_3.3     NCP1117DT_3.3         DPAK               FSAE Electric              1
U9       MAX823TEUK+T_3.08 MAX823TEUK+T_3.08     SOT23-5            FSAE Electric              1
U10      NCV7805BDTRKG     NCV7805BDTRKG         DPAK               FSAE Electric              1
U11      ADM3101E          ADM3101E              SSOP-16            FSAE Electric              1
V1       10.8V             VARISTOR_10.8V        0805               FSAE Electric              1
Y1       12Mhz             CRYSTAL5X3            CRYSTAL-SMD-5X3    SparkFun-FreqCtrl          1
