Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
1,"JP7",M02LOCK,1X02_LOCK,***PART# '*' NOT FOUND***,*,*,*,*,*,*
2,"U9, U13",NCP1117DT,V-REG_DPACK,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"IC1",NE555D,SO08,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"SJ1",NO,SJ_2S-NO,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"U14",OPA344,SOT23-5,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"U$5",OSHW-LOGOM,OSHW-LOGO-M,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"U8",PIC18F45K22,TQFP-44,PIC18F45K22T-I/PT,Microchip Technology,DK,PIC18F45K22T-I/PTCT-ND,IC MCU 8BIT 32KB FLASH 44TQFP,44-TQFP,REF105
1,"JP9",PROG,2X3-NS,***PART# '*' NOT FOUND***,*,*,*,*,*,*
2,"L3, L5",SDE0805A-220M,CR54,***PART# '*' NOT FOUND***,*,*,*,*,*,*
2,"U2, U6",SN74LVC1G3157DBVR,SOT23-6,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"U11",SN75HVD08DR,SO-8,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"U10",SP6214 1.8V,SC70,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"U1",SR-FRS-1W,SR-FRS-1W,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"U3",TPA2000D1TPWRQ1,TSSOP-16,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"U7",USD-SOCKET,MICRO-SD-SOCKET-PP,***PART# '*' NOT FOUND***,*,*,*,*,*,*
1,"U4",VS1053,LQFP-48,***PART# '*' NOT FOUND***,*,*,*,*,*,*
