Partlist

Exported from BMS-HVver2.5.brd at 2/18/2017 9:01:58 AM

EAGLE Version 6.6.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value                 Package                  Library           Position (mil)        Orientation
D34      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 -695)          R180
D35      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 -945)          R180
D36      LED_RED               CHIP_LED0805             FSAE Electric     (-2475 -1195)         R180
F1       FUSE_750MA_63V_0603   0603                     FSAE Electric     (-1625 1875)          R270
F2       FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2125 1640)          MR270
F3       FUSE_750MA_63V_0603   0603                     FSAE Electric     (-1705 1375)          MR0
F4       FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2225.5 976)         MR0
F5       FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2224.5 714)         MR0
F6       FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2225 435)           MR0
F7       FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2224.5 185)         MR0
F8       FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2224.5 -228.5)      MR0
F9       FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2224.5 -514.5)      MR0
F10      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2228 -1093.5)       MR0
F11      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2226.5 -1180)       MR0
F12      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-2002.5 -1467)       MR90
F13      FUSE_750MA_63V_0603   0603                     FSAE Electric     (30 1795)             R180
F14      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-425 1725)           R180
F15      FUSE_750MA_63V_0603   0603                     FSAE Electric     (76.5 1375)           MR0
F16      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-325 1075)           MR90
F17      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-40 664)             MR0
F18      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-400 375)            MR90
F19      FUSE_750MA_63V_0603   0603                     FSAE Electric     (43.5 -66.5)          MR90
F20      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-350 -325)           MR90
F21      FUSE_750MA_63V_0603   0603                     FSAE Electric     (165 -805)            MR0
F22      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-365 -995)           MR90
F23      FUSE_750MA_63V_0603   0603                     FSAE Electric     (60 -1415)            MR0
F24      FUSE_750MA_63V_0603   0603                     FSAE Electric     (-390 -1700)          MR90
F25      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1950 1895)           R270
F26      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1575 1554)           MR270
F27      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1820 1279)           MR0
F28      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1570 920)            MR270
F29      FUSE_750MA_63V_0603   0603                     FSAE Electric     (2000 570)            MR270
F30      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1560 480)            MR90
F31      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1910 2)              MR270
F32      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1560 -460)           MR270
F33      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1990 -803.5)         MR270
F34      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1570 -1150)          MR270
F35      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1863 -1384)          MR0
F36      FUSE_750MA_63V_0603   0603                     FSAE Electric     (1566 -1590)          MR90
J3       M2S02B-PASK-2(LF)(SN) S02B-PASK-2(LF)(SN)      FSAE Electric     (1498 2086)           R0
J4       M2S02B-PASK-2(LF)(SN) S02B-PASK-2(LF)(SN)      FSAE Electric     (1477 -2065)          R180
Q1       BSS308PE              SOT23                    FSAE Electric     (1800 -970)           R90
Q2       BSS308PE              SOT23                    FSAE Electric     (1795 -790)           R90
Q3       BSS308PE              SOT23                    FSAE Electric     (1800 -1140)          R90
Q4       BSS308PE              SOT23                    FSAE Electric     (1805 -530)           R90
Q5       BSS308PE              SOT23                    FSAE Electric     (1800 -340)           R90
Q6       BSS308PE              SOT23                    FSAE Electric     (1790 -90)            R90
Q7       BSS308PE              SOT23                    FSAE Electric     (1800 200)            R90
Q8       BSS308PE              SOT23                    FSAE Electric     (1795 520)            R90
Q9       BSS308PE              SOT23                    FSAE Electric     (1795 830)            R90
Q10      BSS308PE              SOT23                    FSAE Electric     (1845 1030)           R90
Q11      BSS308PE              SOT23                    FSAE Electric     (1790 1290)           R90
Q12      BSS308PE              SOT23                    FSAE Electric     (1750 1600)           R90
Q13      BSS308PE              SOT23                    FSAE Electric     (2470 -330)           R270
Q14      BSS308PE              SOT23                    FSAE Electric     (-2295 -960)          R90
Q15      BSS308PE              SOT23                    FSAE Electric     (-2295 -770)          R90
Q16      BSS308PE              SOT23                    FSAE Electric     (-2290 -1170)         R90
Q17      BSS308PE              SOT23                    FSAE Electric     (-2300 -530)          R90
Q18      BSS308PE              SOT23                    FSAE Electric     (-2295 -200)          R90
Q19      BSS308PE              SOT23                    FSAE Electric     (-2300 10)            R90
Q20      BSS308PE              SOT23                    FSAE Electric     (-2305 290)           R90
Q21      BSS308PE              SOT23                    FSAE Electric     (-2305 510)           R90
Q22      BSS308PE              SOT23                    FSAE Electric     (-2305 680)           R90
Q23      BSS308PE              SOT23                    FSAE Electric     (-2300 900)           R90
Q24      BSS308PE              SOT23                    FSAE Electric     (-2280 1240)          R90
Q25      BSS308PE              SOT23                    FSAE Electric     (-2300 1480)          R90
Q26      BSS308PE              SOT23                    FSAE Electric     (-1154 -261)          R90
Q27      BSS308PE              SOT23                    FSAE Electric     (-135 -845)           R90
Q28      BSS308PE              SOT23                    FSAE Electric     (-140 -645)           R90
Q29      BSS308PE              SOT23                    FSAE Electric     (-155 -1205)          R90
Q30      BSS308PE              SOT23                    FSAE Electric     (-140 -455)           R90
Q31      BSS308PE              SOT23                    FSAE Electric     (-145 -155)           R90
Q32      BSS308PE              SOT23                    FSAE Electric     (-145 45)             R90
Q33      BSS308PE              SOT23                    FSAE Electric     (-145 205)            R90
Q34      BSS308PE              SOT23                    FSAE Electric     (-155 575)            R90
Q35      BSS308PE              SOT23                    FSAE Electric     (-155 845)            R90
Q36      BSS308PE              SOT23                    FSAE Electric     (-85 1035)            R90
Q37      BSS308PE              SOT23                    FSAE Electric     (-190 1255)           R90
Q38      BSS308PE              SOT23                    FSAE Electric     (-185 1575)           R90
Q39      BSS308PE              SOT23                    FSAE Electric     (850 -550)            R270
R2       100                   0603                     FSAE Electric     (2509 597)            R0
R3       100                   0603                     FSAE Electric     (2378 574)            R270
R4       100                   0603                     FSAE Electric     (2000 1625)           R0
R5       100                   0603                     FSAE Electric     (2000 1075)           R0
R6       100                   0603                     FSAE Electric     (2000 1268)           R0
R7       3.3K                  0603                     FSAE Electric     (2000 1525)           R0
R8       3.3K                  0603                     FSAE Electric     (2000 1175)           R0
R9       475                   0603                     FSAE Electric     (1520 1480)           R90
R10      475                   0603                     FSAE Electric     (1530 1230)           R90
R11      100                   0603                     FSAE Electric     (2000 875)            R0
R12      3.3K                  0603                     FSAE Electric     (2000 975)            R0
R13      475                   0603                     FSAE Electric     (1640 930)            R90
R14      100                   0603                     FSAE Electric     (2000 550)            R0
R15      3.3K                  0603                     FSAE Electric     (2000 775)            R0
R16      475                   0603                     FSAE Electric     (1525 730)            R90
R17      100                   0603                     FSAE Electric     (2000 250)            R0
R18      3.3K                  0603                     FSAE Electric     (2000 450)            R0
R19      475                   0603                     FSAE Electric     (1525 485)            R90
R20      100                   0603                     FSAE Electric     (2000 -290)           R0
R21      3.3K                  0603                     FSAE Electric     (2000 -200)           R0
R22      475                   0603                     FSAE Electric     (1525 -20)            R90
R23      100                   0603                     FSAE Electric     (2000 -100)           R0
R24      3.3K                  0603                     FSAE Electric     (2000 150)            R0
R25      475                   0603                     FSAE Electric     (1525 185)            R90
R26      100                   0603                     FSAE Electric     (2000 -480)           R0
R27      3.3K                  0603                     FSAE Electric     (2000 -380)           R0
R28      475                   0603                     FSAE Electric     (1535 -230)           R90
R29      100                   0603                     FSAE Electric     (1998.5 -800)         R0
R30      3.3K                  0603                     FSAE Electric     (2000 -560)           R0
R31      475                   0603                     FSAE Electric     (1535 -535)           R90
R32      100                   0805                     FSAE Electric     (2000 -935)           R0
R33      3.3K                  0805                     FSAE Electric     (2000 -870)           R0
R34      475                   0603                     FSAE Electric     (1525 -770)           R90
R35      100                   0603                     FSAE Electric     (2000 -1095)          R0
R36      3.3K                  0603                     FSAE Electric     (2000 -1005)          R0
R37      475                   0603                     FSAE Electric     (1472 -998)           R90
R38      100                   0805                     FSAE Electric     (1930 -1860)          R90
R39      3.3K                  0805                     FSAE Electric     (2000 -1175)          R0
R40      475                   0603                     FSAE Electric     (1525 -1265)          R90
R41      0                     0805                     FSAE Electric     (1810 -1990)          R90
R42      16                    RR02J16RTB               FSAE Electric     (1250 -1300)          R180
R43      16                    RR02J16RTB               FSAE Electric     (1400 -1175)          R0
R44      16                    RR02J16RTB               FSAE Electric     (1250 -1050)          R180
R45      16                    RR02J16RTB               FSAE Electric     (1400 -925)           R0
R46      16                    RR02J16RTB               FSAE Electric     (1250 -800)           R180
R47      16                    RR02J16RTB               FSAE Electric     (1400 -675)           R0
R48      16                    RR02J16RTB               FSAE Electric     (1250 -550)           R180
R49      16                    RR02J16RTB               FSAE Electric     (1400 -425)           R0
R50      16                    RR02J16RTB               FSAE Electric     (1250 -300)           R180
R51      16                    RR02J16RTB               FSAE Electric     (1400 -175)           R0
R52      16                    RR02J16RTB               FSAE Electric     (1250 -50)            R180
R53      16                    RR02J16RTB               FSAE Electric     (1400 75)             R0
R54      16                    RR02J16RTB               FSAE Electric     (1250 200)            R180
R55      16                    RR02J16RTB               FSAE Electric     (1400 325)            R0
R56      16                    RR02J16RTB               FSAE Electric     (1250 450)            R180
R57      16                    RR02J16RTB               FSAE Electric     (1400 575)            R0
R58      16                    RR02J16RTB               FSAE Electric     (1250 700)            R180
R59      16                    RR02J16RTB               FSAE Electric     (1400 825)            R0
R60      16                    RR02J16RTB               FSAE Electric     (1250 950)            R180
R61      16                    RR02J16RTB               FSAE Electric     (1400 1075)           R0
R62      16                    RR02J16RTB               FSAE Electric     (1250 1200)           R180
R63      16                    RR02J16RTB               FSAE Electric     (1400 1325)           R0
R64      16                    RR02J16RTB               FSAE Electric     (1250 1450)           R180
R65      16                    RR02J16RTB               FSAE Electric     (1400 1575)           R0
R66      1K                    0603                     FSAE Electric     (2620 -470)           R90
R67      10K                   MNR14                    FSAE Electric     (2600 -330)           R90
R68      100K                  0603                     FSAE Electric     (2510 -470)           R90
R69      1.2K                  0603                     FSAE Electric     (2557 -1625)          R180
R70      787                   0805                     FSAE Electric     (2766.5 -1624)        R180
R71      10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (2050 1330)           R90
R72      10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (1630 290)            R90
R73      10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (2050 -730)           R90
R74      100                   0603                     FSAE Electric     (625 775)             R90
R75      100                   0805                     FSAE Electric     (650 625)             R0
R76      100                   0805                     FSAE Electric     (-25 1620)            R0
R77      100                   0603                     FSAE Electric     (75 1075)             R0
R78      100                   0603                     FSAE Electric     (-25 1295)            R0
R79      3.3K                  0805                     FSAE Electric     (-25 1540)            R0
R80      3.3K                  0603                     FSAE Electric     (-25 1210)            R0
R81      475                   0603                     FSAE Electric     (-425 1460)           R90
R82      475                   0603                     FSAE Electric     (-425 1220)           R90
R83      100                   0603                     FSAE Electric     (75 875)              R0
R84      3.3K                  0805                     FSAE Electric     (75 975)              R0
R85      475                   0603                     FSAE Electric     (-425 970)            R90
R86      100                   0603                     FSAE Electric     (75 632)              R0
R87      3.3K                  0603                     FSAE Electric     (75 775)              R0
R88      475                   0603                     FSAE Electric     (-425 730)            R90
R89      100                   0603                     FSAE Electric     (75 375)              R0
R90      3.3K                  0603                     FSAE Electric     (75 500)              R0
R91      475                   0603                     FSAE Electric     (-425 480)            R90
R92      100                   0603                     FSAE Electric     (75 -114)             R0
R93      3.3K                  0603                     FSAE Electric     (75 75)               R0
R94      475                   0603                     FSAE Electric     (-425 -20)            R90
R95      100                   0603                     FSAE Electric     (75 175)              R0
R96      3.3K                  0603                     FSAE Electric     (75 275)              R0
R97      475                   0603                     FSAE Electric     (-425 230)            R90
R98      100                   0603                     FSAE Electric     (75 -325)             R0
R99      3.3K                  0603                     FSAE Electric     (75 -200)             R0
R100     475                   0603                     FSAE Electric     (-425 -270)           R90
R101     100                   0603                     FSAE Electric     (75 -550)             R0
R102     3.3K                  0603                     FSAE Electric     (75 -425)             R0
R103     475                   0603                     FSAE Electric     (-425 -515)           R90
R104     100                   0805                     FSAE Electric     (75 -900)             R0
R105     3.3K                  0805                     FSAE Electric     (75 -625)             R0
R106     475                   0603                     FSAE Electric     (-425 -775)           R90
R107     100                   0603                     FSAE Electric     (75 -1175)            R0
R108     3.3K                  0603                     FSAE Electric     (75 -1000)            R0
R109     475                   0603                     FSAE Electric     (-425 -1015)          R90
R110     100                   0603                     FSAE Electric     (25 -1975)            R90
R111     3.3K                  0603                     FSAE Electric     (75 -1275)            R0
R112     475                   0603                     FSAE Electric     (-435 -1270)          R90
R113     0                     0603                     FSAE Electric     (-160 -1980)          R90
R114     16                    RR02J16RTB               FSAE Electric     (-700 -1300)          R180
R115     16                    RR02J16RTB               FSAE Electric     (-550 -1175)          R0
R116     16                    RR02J16RTB               FSAE Electric     (-700 -1050)          R180
R117     16                    RR02J16RTB               FSAE Electric     (-550 -925)           R0
R118     16                    RR02J16RTB               FSAE Electric     (-700 -800)           R180
R119     16                    RR02J16RTB               FSAE Electric     (-550 -675)           R0
R120     16                    RR02J16RTB               FSAE Electric     (-700 -550)           R180
R121     16                    RR02J16RTB               FSAE Electric     (-550 -425)           R0
R122     16                    RR02J16RTB               FSAE Electric     (-700 -300)           R180
R123     16                    RR02J16RTB               FSAE Electric     (-550 -175)           R0
R124     16                    RR02J16RTB               FSAE Electric     (-700 -50)            R180
R125     16                    RR02J16RTB               FSAE Electric     (-550 75)             R0
R126     16                    RR02J16RTB               FSAE Electric     (-700 200)            R180
R127     16                    RR02J16RTB               FSAE Electric     (-550 325)            R0
R128     16                    RR02J16RTB               FSAE Electric     (-700 450)            R180
R129     16                    RR02J16RTB               FSAE Electric     (-550 575)            R0
R130     16                    RR02J16RTB               FSAE Electric     (-700 700)            R180
R131     16                    RR02J16RTB               FSAE Electric     (-550 825)            R0
R132     16                    RR02J16RTB               FSAE Electric     (-700 950)            R180
R133     16                    RR02J16RTB               FSAE Electric     (-550 1075)           R0
R134     16                    RR02J16RTB               FSAE Electric     (-700 1200)           R180
