Partlist

Exported from BMS-HVver2.5.brd at 2/18/2017 9:01:58 AM

EAGLE Version 6.6.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value                 Package                  Library           Position (mil)        Orientation
SJ6                            PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (968 557)             R0
SJ7                            PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (968 457)             R0
SJ8                            PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (968 350)             R0
SJ9                            PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (968 250)             R0
SJ10                           PAD-JUMPER-2-NO_YES_SILK SparkFun-Passives (950 150)             R90
SJ11                           PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (-1226 885)           R0
SJ12                           PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (-1226 778)           R0
SJ13                           PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (-1226 671)           R0
SJ14                           PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (-1226 564)           R0
SJ15                           PAD-JUMPER-2-NO_YES_SILK SparkFun-Passives (-1242 346)           R90
TX1      PE-68386NLT           PE-68386NLT              FSAE Electric     (2792 1550)           R0
TX2      PE-68386NLT           PE-68386NLT              FSAE Electric     (2785 1175)           R0
TX3      PE-68386NLT           PE-68386NLT              FSAE Electric     (2792 800)            R0
U$1      POGOPIN               POGOPIN                  FSAE Electric     (1947 -2018)          R0
U$2      POGOPIN               POGOPIN                  FSAE Electric     (1570 -1722)          R0
U$3      POGOPIN               POGOPIN                  FSAE Electric     (1996 -1378)          R0
U$4      POGOPIN               POGOPIN                  FSAE Electric     (1570 -1033)          R0
U$5      POGOPIN               POGOPIN                  FSAE Electric     (1997 -688)           R0
U$6      POGOPIN               POGOPIN                  FSAE Electric     (1570 -344)           R0
U$7      POGOPIN               POGOPIN                  FSAE Electric     (1997 0)              R0
U$8      POGOPIN               POGOPIN                  FSAE Electric     (1570 345)            R0
U$9      POGOPIN               POGOPIN                  FSAE Electric     (1997 689)            R0
U$10     POGOPIN               POGOPIN                  FSAE Electric     (1569 1033)           R0
U$11     POGOPIN               POGOPIN                  FSAE Electric     (1997 1378)           R0
U$12     POGOPIN               POGOPIN                  FSAE Electric     (1570 1722)           R0
U$13     POGOPIN               POGOPIN                  FSAE Electric     (1948 2018)           R0
U$14     POGOPIN               POGOPIN                  FSAE Electric     (-1627 -2018)         R0
U$15     POGOPIN               POGOPIN                  FSAE Electric     (-2005 -1723)         R0
U$16     POGOPIN               POGOPIN                  FSAE Electric     (-1578 -1378)         R0
U$17     POGOPIN               POGOPIN                  FSAE Electric     (-2005 -1033)         R0
U$18     POGOPIN               POGOPIN                  FSAE Electric     (-1578 -689)          R0
U$19     POGOPIN               POGOPIN                  FSAE Electric     (-2005 -344)          R0
U$20     POGOPIN               POGOPIN                  FSAE Electric     (-1578 0)             R0
U$21     POGOPIN               POGOPIN                  FSAE Electric     (-2005 345)           R0
U$22     POGOPIN               POGOPIN                  FSAE Electric     (-1578 689)           R0
U$23     POGOPIN               POGOPIN                  FSAE Electric     (-2005 1033)          R0
U$24     POGOPIN               POGOPIN                  FSAE Electric     (-1578 1378)          R0
U$25     POGOPIN               POGOPIN                  FSAE Electric     (-2005 1722)          R0
U$26     POGOPIN               POGOPIN                  FSAE Electric     (-1627 2018)          R0
U$28     NSV1C201MZ4T1G        SOT223                   FSAE Electric     (-1384 1113)          R0
U$29     NSV1C201MZ4T1G        SOT223                   FSAE Electric     (825 925)             R0
U$30     NSV1C201MZ4T1G        SOT223                   FSAE Electric     (2330 1140)           R0
U$40     POGOPIN               POGOPIN                  FSAE Electric     (160 -2018)           R0
U$41     POGOPIN               POGOPIN                  FSAE Electric     (-218 -1723)          R0
U$42     POGOPIN               POGOPIN                  FSAE Electric     (209 -1379)           R0
U$43     POGOPIN               POGOPIN                  FSAE Electric     (-218 -1034)          R0
U$44     POGOPIN               POGOPIN                  FSAE Electric     (209 -690)            R0
U$45     POGOPIN               POGOPIN                  FSAE Electric     (-218 -344)           R0
U$46     POGOPIN               POGOPIN                  FSAE Electric     (209 0)               R0
U$47     POGOPIN               POGOPIN                  FSAE Electric     (-218 344)            R0
U$48     POGOPIN               POGOPIN                  FSAE Electric     (209 689)             R0
U$49     POGOPIN               POGOPIN                  FSAE Electric     (-218 1034)           R0
U$50     POGOPIN               POGOPIN                  FSAE Electric     (209 1378)            R0
U$51     POGOPIN               POGOPIN                  FSAE Electric     (-218 1722)           R0
U$52     POGOPIN               POGOPIN                  FSAE Electric     (160 2017)            R0
U1       LTC6804-2             SSOP-48                  FSAE Electric     (2519 140)            R270
U2       LTC6804-2             SSOP-48                  FSAE Electric     (600 175)             R270
U3       LTC6804-2             SSOP-48                  FSAE Electric     (-1540 350)           R270
